id	filename	md5	size
1b5f413e-a8d1-4d10-92eb-7c4ae739ed81	TCGA-CDR-SupplementalTableS1.xlsx	a4591b2dcee39591f59e5e25a6ce75fa	2945129
ff3f962c-3573-44ae-a8f4-e5ac0aea64b6	mutation-load_updated.txt	c5a112f079ffdb430fda15bea4edcb67	594504
4c35f34f-b0f3-4891-8794-4840dd748aad	PANCAN_ArmCallsAndAneuploidyScore_092817.txt	a610bbd79b25e09e3cda61b99706e0cf	1079849
0f4f5701-7b61-41ae-bda9-2805d1ca9781	TCGA_mastercalls.abs_segtabs.fixed.txt	585c8793730f294d7bf0144566bb37fa	253061161
4f277128-f793-4354-a13d-30cc7fe9f6b5	TCGA_mastercalls.abs_tables_JSedit.fixed.txt	8ea2ca92c8ae58350538999dfa1174da	901812
74abec30-668d-45ef-b1e3-ff49e8f132c7	ISAR_corrected.PANCAN_Genome_Wide_SNP_6_whitelisted.seg	3373d2874c07aa5fb8f3861e4c11e7d8	118664911
99b0c493-9e94-4d99-af9f-151e46bab989	jhu-usc.edu_PANCAN_HumanMethylation450.betaValue_whitelisted.tsv	a92f50490cf4eca98b0d19e10927de9d	41541692788
9a4679c3-855d-4055-8be9-3577ce10f66e	EBPlusPlusAdjustPANCAN_IlluminaHiSeq_RNASeqV2-v2.geneExp.tsv	4f55bc54cb2c17ff07b28580606d6efa	1879492443
55d9bf6f-0712-4315-b588-e6f8e295018e	PanCanAtlas_miRNA_sample_information_list.txt	02bb56712be34bcd58c50d90387aebde	553408
1c6174d9-8ffb-466e-b5ee-07b204c15cf8	pancanMiRs_EBadjOnProtocolPlatformWithoutRepsWithUnCorrectMiRs_08_04_16.csv	c7501dc3c505ca172a6a05b611bd11c3	67167640
fcbb373e-28d4-4818-92f3-601ede3da5e1	TCGA-RPPA-pancan-clean.txt	e2b914c7ecd369589275d546d9555b05	18901234
1c8cfe5f-e52d-41ba-94da-f15ea1337efc	mc3.v0.2.8.PUBLIC.maf.gz	639ad8f8386e98dacc22e439188aa8fa	753339089
